id,manufacturer,model,product_ids
1748,Citizen,IDP-3530-P,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1749,Citizen,IDP-3535,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1750,Citizen,IDP-3540-F,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1751,Citizen,IDP-3540-P,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1752,Citizen,IDP-3541-F,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1753,Citizen,IDP-3545,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1754,Citizen,IDP-3546,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1755,Citizen,IDP-3550,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1756,Citizen,IDP-3551,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1757,Citizen,IDP-460,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1758,Datasym,Datasym,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1759,DH Print,1400,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1760,EMCO/Wheaton,EECO 1000,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1761,Epson,260,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1762,Epson,270,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1763,Epson,300D,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1764,Epson,ERC30,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1765,Epson,ERC34,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1766,Epson,ERC38,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1767,Epson,ITU200D,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1768,Epson,J2000 Series,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1769,Epson,J2100 Series,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1770,Epson,M119,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1771,Epson,M119B,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1772,Epson,M133A,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1773,Epson,M17-JB,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1774,Epson,M188B,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1775,Epson,M199D,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1776,Epson,M265,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1777,Epson,M270,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1778,Epson,M280,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1779,Epson,M52-JB,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1780,Epson,RP265 Series,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1781,Epson,RP267,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1782,Epson,TM-051,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1783,Epson,TM-267 II,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1784,Epson,TM-270,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1785,Epson,TM-300,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1786,Epson,TM-300A,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1787,Epson,TM-300C,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1788,Epson,TM-300D,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1789,Epson,TM-801,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1790,Epson,TM-U200B,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1791,Epson,TM-U200D,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1792,Epson,TM-U210A,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1793,Epson,TM-U210AR,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1794,Epson,TM-U210B,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1795,Epson,TM-U220 (M118b),"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1796,Epson,TM-U220A,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1797,Epson,TM-U220B,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1798,Epson,TM-U220D,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1799,Epson,TM-U230,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1800,Epson,TM-U300,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1801,Epson,TM-U300A,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1802,Epson,TM-U300B,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1803,Epson,TM-U300C,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1804,Epson,TM-U300D,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1805,Epson,TM-U325,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1806,Epson,TM-U370,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1807,Epson,TM-U375,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1808,Epson,U300A,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1809,Epson,U300B,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1810,Epson,U300C,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1811,Epson,U300D,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1812,Fujitsu/ICL,7770,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1813,Fujitsu/ICL,7880,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1814,Fujitsu/ICL,7990,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1815,Fujitsu/ICL,8770,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1816,Fujitsu/ICL,9516,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1817,Fujitsu/ICL,9620,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1818,Fujitsu/ICL,9520/150,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1819,Fujitsu/ICL,9520/50,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1820,Fujitsu/ICL,Atrium BAR200,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1821,Gascard,780,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1822,Hypercom,P740,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1823,Hypercom,P8,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1824,Hypercom,T77F,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1825,Ithaca,1000 POSjet Series,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1826,Ithaca,1500 POSjet Series,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1827,Ithaca,90 Plus Series,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1828,Ithaca,Bankjet 1500,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1829,Ithaca,PcOS 151,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1830,Ithaca,PcOS 152,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1831,Ithaca,PcOS 153,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1832,Ithaca,Per. PcOS 150,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1833,MICROS,1700,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1834,MICROS,2000,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1835,MICROS,2400,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1836,MICROS,2700,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1837,MICROS,4000,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1838,MICROS,Heavy Duty Kitchen,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1839,MICROS,PR282,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1840,MICROS,PR344,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1841,MICROS,TM-U200B,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1842,MICROS,TM-U220,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1843,MICROS,TM-U230,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1844,MICROS,TM-U300,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1845,MICROS,TM-U325,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1846,MICROS,TM-U370,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1847,MICROS,TM-U375,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1848,National Semiconductor,Rec. for Olivetti Printer,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1849,NCR,2173,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1850,NCR,7161,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1851,NCR,2061-5400,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1852,NCR,7445-100X,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1853,Norand,NP105,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1854,Omron,CAT050,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1855,Omron,RP25,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1856,Omron,RP55 Remote Printer,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1857,Omron,RS25,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1858,Omron,RS4010C,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1859,Omron,RS8000C,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1860,Omron,RS8010C,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1861,Omron,RS8020C,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1862,Omron,RS8030C,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1863,Omron,RS8040C,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1864,Panasonic,2700,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1865,Panasonic,660RM,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1866,Panasonic,JS650 Remote Printer,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1867,Panasonic,JS6500,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1868,Panasonic,JS7500,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1869,Panasonic,JS8000,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1870,Panasonic,JS800RM,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1871,Panasonic,P100WP,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1872,POS-X,EVO Impact Printer,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1873,POS-X,XR200,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1874,POS-X,XR201,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1875,POS-X,XR210,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1876,Samsung,SRP 270,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1877,Samsung,SRP-100,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1878,Sharp,ZL6100,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1879,SNBC,BTP-M280B,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1880,SNBC,BTP-M300,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1881,Star Micronics,MP200 Series,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1882,Star Micronics,MP300 Series,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1883,Star Micronics,SP200 Series,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1884,Star Micronics,SP2000 Series,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1885,Star Micronics,SP300 Series,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1886,Star Micronics,UP389,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1887,Sweda,3428,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1888,Sweda,EJP400,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1889,Sweda,ERC4450,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1890,Sweda,Ser. L50 Consolidated,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1891,Team Sable,TR-M300-E,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1892,Teknika,SP7500 Kitchen Printer,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1893,Tokheim,176,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1894,Tokheim,200,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1895,Tokheim,179P,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1896,Triton,9500,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1897,Triton,9515,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1898,Tysso,PRP-076C,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1899,Verifone,Omni 480,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1900,Verifone,Printer 220,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1901,Verifone,Printer 250,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1902,Verifone,Printer 900,"19021B,19094B,19550B,19551CB,19552BB,19553GB,19554PB,62245R,EPSERC38BR"
1903,Axalto,Magic X1000,"19214DT,19350DT,200087"
1904,BioCon,500 Bladder Scanner,"19214DT,19350DT,200087"
1905,BioCon,700 Bladder Scanner,"19214DT,19350DT,200087"
1906,Commerciant,Mobilescape 3000,"19214DT,19350DT,200087"
1907,Commerciant,Mobilescape 5000,"19214DT,19350DT,200087"
1908,Datecs,PP-55 Palm Printer,"19214DT,19350DT,200087"
1909,Extech,S1500T,"19214DT,19350DT,200087"
1910,Extech,S2500THS,"19214DT,19350DT,200087"
1911,First Data,FD400 Credit Card Terminal,"19214DT,19350DT,200087"
1912,Ingenico,BIO930,"19214DT,19350DT,200087"
1913,Ingenico,EFT930 Series,"19214DT,19350DT,200087"
1914,Ingenico,EFT930S,"19214DT,19350DT,200087"
1915,Ingenico,EFT930S-L,"19214DT,19350DT,200087"
1916,Ingenico,iCT200,"19214DT,19350DT,200087"
1917,Ingenico,iCT220,"19214DT,19350DT,200087"
1918,Ingenico,iCT250,"19214DT,19350DT,200087"
1919,Ingenico,iWL252,"19214DT,19350DT,200087"
1920,Ingenico,iWL255,"19214DT,19350DT,200087"
1921,Match,CONSULT-II,"19214DT,19350DT,200087"
1922,Nurit,8000,"19214DT,19350DT,200087"
1923,Printek,Mt2,"19214DT,19350DT,200087"
1924,Verifone Omni,VX 510LE,"19214DT,19350DT,200087"
1925,Verifone Omni,VX 520,"19214DT,19350DT,200087"
